cy_id_old,cy_id_new,gps_north_degree,gps_north_minute,gps_east_degree,gps_east_minute,subdistrict,district
M-JKT-052,M-JKT-051,6,12.215,106,52.168,MATRAMAN,JAKARTA TIMUR
M-TGR-045,M-TGR-045,6,9365,106,40544,BATUCEPER,KOTA TANGERANG
D-BGR-034,D-BGR-033,6,29.472,106,49.092,CIBINONG,BOGOR
M-TGR-076,M-TGR-074,6,9209,106,39828,BATUCEPER,KOTA TANGERANG
M-JKS-077,M-JKS-077-1,6,12.729,106,47.596,KEBAYORAN LAMA,JAKARTA SELATAN
M-JKS-079,M-JKS-077-3,6,12.744,106,47.606,KEBAYORAN LAMA,JAKARTA SELATAN
M-JKS-078,M-JKS-077-2,6,12.761,106,47.611,KEBAYORAN LAMA,JAKARTA SELATAN
D-BGR-002,D-BGR-002,6,26.098,106,41.703,CISEENG,BOGOR
M-JKS-055,M-JKS-055,6,14.463,106,46.691,KEBAYORAN LAMA,JAKARTA SELATAN
M-JKS-054,M-JKS-054,6,14.468,106,46.69,KEBAYORAN LAMA,JAKARTA SELATAN
D-BKS-048,D-BKS-048,6,24.759,107,15.171,KEDUNGWARINGIN,BEKASI
M-JKS-056,M-JKS-056,6,14.468,106,46.691,KEBAYORAN LAMA,JAKARTA SELATAN
M-JKT-066,M-JKT-066,6,12.537,106,52.269,MATRAMAN,JAKARTA TIMUR
M-JKP-017,M-JKP-005,6,10.548,106,51.462,JOHAR BARU,JAKARTA PUSAT
M-JKT-060,M-JKT-060,6,12582,106,52370,MATRAMAN,JAKARTA TIMUR
M-JKP-016,M-JKP-005,6,10.536,106,51.468,JOHAR BARU,JAKARTA PUSAT
M-JKP-007,M-JKP-005,6,10.801,106,51.567,CEMPAKA PUTIH,JAKARTA PUSAT
M-JKT-057,M-JKT-051,6,12.352,106,51.989,MATRAMAN,JAKARTA TIMUR
M-JKT-055,M-JKT-051,6,12.307,106,52.038,MATRAMAN,JAKARTA TIMUR
M-JKT-053,M-JKT-051,6,12.332,106,52.2,MATRAMAN,JAKARTA TIMUR
M-JKP-018,M-JKP-005,6,10.642,106,51.512,JOHAR BARU,JAKARTA PUSAT
M-JKT-063,M-JKT-060,6,12.547,106,52.253,MATRAMAN,JAKARTA TIMUR
M-JKP-015,M-JKP-005,6,10.84,106,51.517,JOHAR BARU,JAKARTA PUSAT
M-JKP-008,M-JKP-005,6,10.844,106,51.59,CEMPAKA PUTIH,JAKARTA PUSAT
M-JKT-189,M-JKT-189,6,12.362,106,52.177,MATRAMAN,JAKARTA TIMUR
M-TGR-064,M-TGR-064,6,9343,106,37723,NEGLASARI,KOTA TANGERANG
M-TGR-094,M-TGR-094,6,9.155,106,37.383,NEGLASARI,KOTA TANGERANG
M-TGR-096,M-TGR-096,6,7.809,106,37.993,NEGLASARI,KOTA TANGERANG
M-JKP-009,M-JKP-005,6,10.515,106,51.475,CEMPAKA PUTIH,JAKARTA PUSAT
M-JKT-061,M-JKT-060,6,12.548,106,52.264,MATRAMAN,JAKARTA TIMUR
M-JKT-068,M-JKT-066,6,12.542,106,52.254,MATRAMAN,JAKARTA TIMUR
M-JKT-190,M-JKT-190,6,12.544,106,52.257,MATRAMAN,JAKARTA TIMUR
M-JKT-056,M-JKT-051,6,12.438,106,52.056,MATRAMAN,JAKARTA TIMUR
M-JKT-192,M-JKT-192,6,12.582,106,52.377,MATRAMAN,JAKARTA TIMUR
M-JKP-005,M-JKP-005,6,10.875,106,51.612,CEMPAKA PUTIH,JAKARTA PUSAT
M-JKP-040,M-JKP-040,6,9.585,106,52.222,KEMAYORAN,JAKARTA PUSAT
M-JKP-044,M-JKP-043,6,10.386,106,50.56,SENEN,JAKARTA PUSAT
M-JKP-043,M-JKP-043,6,10.391,106,50.488,SENEN,JAKARTA PUSAT
M-JKP-046,M-JKP-046,6,10.377,106,50.499,SENEN,JAKARTA PUSAT
M-JKP-020,M-JKP-020,6,9.955,106,51.078,KEMAYORAN,JAKARTA PUSAT
M-TGR-093,M-TGR-093,6,8879,106,37313,NEGLASARI,KOTA TANGERANG
M-TGR-021,M-TGR-021,6,10523,106,38638,TANGERANG,KOTA TANGERANG
M-JKB-040,M-JKB-039,6,9.839,106,43.877,CENGKARENG,JAKARTA BARAT
M-TGR-062,M-TGR-062,6,8476,106,37366,NEGLASARI,KOTA TANGERANG
M-JKP-041,M-JKP-041,6,10.054,106,51.794,KEMAYORAN,JAKARTA PUSAT
M-JKB-042,M-JKB-039,6,9.844,106,43.877,CENGKARENG,JAKARTA BARAT
M-TGR-099,M-TGR-099,6,8456,106,37797,NEGLASARI,KOTA TANGERANG
M-JKB-044,M-JKB-039,6,9.848,106,43.874,CENGKARENG,JAKARTA BARAT
