marketCode,name,address,LS_Coord_Deg,LS_Coord_Min,BT_Coord_Deg,BT_Coord_Min
D-BGR-001,PD Market Tohaga,Parigi-Ciseeng,6,26.954,106,41.933
D-BGR-003,PD Market Tohaga,Jl. Raya Parung Ciseeng,6,25.414,106,43.77
D-BGR-014,Pemerintah Desa Cipinang,Gunung Cake,6,27.535,106,38.929
D-BGR-015,PD Market Tohaga,Cikangian,6,27.516,106,38.887
D-BGR-041,Ny. Mira,Jl. Mayor Oking  (Cibinong Market),6,28.149,106,49.382
D-BGR-043,Market Agency,Laladon,6,34.559,106,45.131
D-BGR-051,Market Agency,Pasar Jonggol,6,27.925,107,3.951
D-BGR-055,Village Officer,Jonggol,6,27.925,107,3.951
D-BGR-068,Endam,Kp. Kaum Pasir Tanjung,6,35.784,107,8.705
D-BGR-075,Kardi,Cikupa,6,33.794,106,59.885
D-BGR-080,Hasan/PD. Market Tohaga,Parung Panjang,6,20.624,106,34.106
D-BGR-081,Doni Jamira,Jl. Desa Cijujung (Ciluar Market ),6,2.651,106,49.57
D-BGR-082,Bastian Lauws,Madang Market,6,73.886,106,51.773
D-BGR-083,Mursid,Salaya Market,6,28.851,106,45.373
D-BGR-084,Samidi,Komp. Pura Bojong Gede,6,29.266,106,46.43
D-BGR-107,"Aldino, Ssi",Citayam Market,6,27.062,106,47.917
D-BGR-108,H. Masdi,Bojong Gede Market,6,29.381,106,47.715
D-BGR-128,H. Agus Sujana/Heri,Market Wanaherang,6,24.982,106,56.255
D-BGR-133,Wanda Suwanda,Market Cileungsi,6,24.473,106,57.786
D-BGR-135,Cahyono Budi S,Ds. Citeureup RT.03/RW.03,6,29.253,106,52.936
D-BGR-136,Irwansyah,Market Citeureup 1,6,29.172,106,53.008
D-BGR-139,Caringin Market,Ds. Banjarsari,6,40.921,106,52.288
D-BGR-160,Village Office,Cikereteg Market,6,41.459,106,50.712
D-BGR-161,Village Office,Caringin Market,6,42.337,106,49.31
D-BGR-166,Market Cigombong,Cigombong,6,44.885,106,47.879
D-BGR-175,Adung,Ds. Cimayang,6,36.346,106,40.06
D-BGR-176,Wahyu Irawan,Cibening,6,36.436,106,40.263
D-BGR-177,Sri Wahyuni,Pamijahan,6,38.653,106,39.099
D-BGR-178,Uun Gunawan,Ds. Gunung Sari,6,36.436,106,40.778
D-BGR-179,Maman Firmansyah,Ciasmara,6,41.142,106,38.926
D-BGR-180,Wahyu Irawan,Ds. Cibening,6,38.088,106,40.778
D-BGR-182,Yudha (Ka. Unit Market),Leuwiliang,6,34.369,106,37.964
D-BGR-183,Juanda,Gn. Bunder II,6,39.981,106,41.202
D-BGR-184,Teguh,Nanggung,6,36.288,106,32.381
D-BGR-185,PD. Market Tohaga,Kemang Market,6,26.507,106,35.843
D-BGR-187,Pasar Cigudeg,Cigudeg Market,6,26.507,106,35.843
D-BGR-189,PD. Market Tohaga,Parung Panjang,6,20.624,106,34.106
D-BGR-192,PD. Market Tohaga,Rebo Market,6,22.543,106,26.257
D-BGR-193,PD. Market Tohaga,Jasinga/Cisonggom,6,28.887,106,27.847
D-BGR-201,PD. Market Tohaga,Citeko,6,40.914,106,55.638
D-BGR-202,Sukawanah,Sukamanah,6,41.293,106,53.955
D-BGR-203,Pasar Ciampea,"Jl. Raya Ciampea, Bogor",6,33.07,106,41.56
D-BGR-204,Pasar Ciawi,,6,39.378,106,50.846
D-BGR-205,Pasar Darmaga,darmaga,6,34.518,106,44.401
D-BKS-001,Market Agency,Jl. M.T. Haryono,6,20.153,107,2.725
D-BKS-002,Market Agency,Jl. Raya Cikarang-Cibarusah,6,21.58,107,7.113
D-BKS-005,Market Agency,Cikarang Kota,6,15.396,107,3.765
D-BKS-018,Market Agency,Jl. Setia Darma 1,6,15.636,107,3.316
D-BKS-019,Market Agency,Jl. Raya Magung Jaya,6,14.664,107,3.779
D-BKS-034,Pasar Modern,Jl. Raya Lippo,6,25.011,107,3.452
D-BKS-035,Pasar Bojong,Jl. Raya Bojong,6,16.336,107,9.196
D-BKS-036,Pasar Lemah Abang,Jl.Raya Bapelkes,6,15.376,107,8.773
D-BKS-037,Pasar Pasir Kupang,Jl. Raya Nagasari,6,16.188,107,10.833
D-BKS-040,Pasar Tegal Danas,Jl .Raya komplek Hegar Mukti,6,19.884,107,10.901
D-BKS-041,Pasar Sukatani,Jl Raya Sukatani,6,10.171,107,10.696
D-BKS-042,Pasar Elok Cikarang ,,6,15.453,107,3.452
D-TGR-001,Ade,Jl. Raya Tanjung Pasir,6,3.55,106,38.426
D-TGR-010,Sungkono,Jombang,6,17.459,106,42.426
D-TGR-012,Market Officer,Cimanggis,6,19.463,106,44.774
D-TGR-015,Market Officer,Jl. H. Usman,6,18.749,106,44.785
D-TGR-027,Ujang Bobon,WTC Bintaro,6,16.27,106,41.304
D-TGR-030,Omih dan Joni,Ps. Kelapa Dua,6,14.147,106,7.49
D-TGR-034,Saprudin,Ps. Sepatan,6,7.197,106,34.439
D-TGR-044,Imam Naip,Cikupa RT/RW. 02/01,6,13.345,106,31.181
D-TGR-053,Eka,Villa Bandara,6,5.463,106,41.512
D-TGR-059,Market Officer,Serdang Kulon,6,15.464,106,33.289
D-TGR-064,Yanto,Sodong-Tigaraksa,6,16.076,106,28.033
D-TGR-072,Market Officer,Jl. Pasar Serpong,6,19.237,106,39.836
D-TGR-073,Adi,Pasar BSD,6,18.321,106,41.118
D-TGR-074,H. Ayub,Kp. Ampel RT/RW. 04/03,6,18.128,106,25.021
D-TGR-078,H. Agus,Kp. Petei RT/RW. 05/01,6,10.777,106,28.912
D-TGR-082,Darmono,Benda Baru RT/RW.07/13,6,19.435,106,42.722
D-TGR-086,Supriyono,Pamulang Timur RT/RW. 01/16,6,20.98,106,44.433
D-TGR-089,Romli,Benda Baru RT/RW.05/09,6,19.487,106,42.699
D-TGR-090,Pasar Kotabumi,Jl.Raya Kotabumi,6,9.436,106,34.15
D-TGR-092,Pasar Binong,Komplek Binong Permai,6,15.011,106,34.916
D-TGR-094,Pasar Legok,"Jl Raya Legok, Parung Panjang,  Kel.
. Babakan, Kec.Lego",6,17.898,106,35.018
D-TGR-095,pasar City Market,Nalagati Rt08/02 Kec. Panongan,6,15.293,106,31.291
D-TGR-096,Pasar Bonang,"Komplek Dasana Indah, Desa Bojong Nangka, Kec.Kelapa Dua",6,15.197,106,35.727
D-TGR-097,Bayesm,Jl. Bencongan Kec.,6,12.916,106,36.322
D-TGR-098,Mawar Mandiri,"Sari Bumi Indah, RW 02",6,12.856,106,36.327
D-TGR-099,Kemis,Ds. Sindang Panon Kec. Sindang Jaya,6,3.647,106,30.651
D-TGR-100,Puri,"Komp. Garuda, Blok A Kampung Melayu Timur, Teluk Naga",6,5.78,106,41.846
D-TGR-101,Korelet,"RT.011, RW.03 Ds. Ranca Iyuh, Kec. Panongan",6,18.178,106,31.483
D-TGR-102,Kronjo,Jl. Pasilian,6,3.969,106,25.235
D-TGR-103,Medang,Komp. Medang Lestari,6,15.835,106,36.599
D-TGR-104,Cisoka,"Jl. Raya Cisoka, Ds. Cisoka, Kec. Cisoka",6,15.882,106,25.43
D-TGR-105,Daon,"Jl. Raya Daon, Ds. Daon, Kec. Rajeg",6,7.782,106,31.541
D-TGR-106,Solear,Komp. Taman Adiyasa Kec. Solear,6,19.568,106,25.176
D-TGR-107,Kresek,"Jl. Raya Kresek, Ds. Kresek, Kec. Kresek",6,7.836,106,22.783
D-TGR-108,Tapos,"Ds.Tapos,Kp.Sukamanah, Kec.Tigaraksa",6,17.944,106,28.646
